team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Athletic Club Bilbao,Athletic Club Bilbao,2024/2025,Spain,4,3,1,0,1,1,0,1,1,0,2,1,1,1,1.33,0,14,11,15,14,3,4,-1,7,4,3,2,1,2,2,0,-1,120,134,90,90,134,45,1,1,0,2,1,1,1,1,0,2,2,0,18,12,6,13,8,5,52,58,34,29,22,7,15,12,3,14,10,4,58,42,16,3,2,1,1,0,1,2,2,0,2,2,0,2,1,1,0,0,0,2,2.33,1,1.75,1.33,3,0.75,0.67,1,1,0.67,2,1,0.67,2,0.75,0.67,1,0.25,0,1,4,2,1,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,2,3,4,4,4,0,2,3,3,3,3,0,0,0,1,1,1,100,50,25,0,0,0,100,33,0,0,0,0,100,100,100,0,0,0,0,50,75,100,100,100,0,67,100,100,100,100,0,0,0,100,100,100,3,1,0,2,0,0,1,1,0,75,25,0,67,0,0,100,100,0,25,33,0,11,25,33,0,50,33,100,25,33,0,50,67,0,3,3,0,75,100,0,1,1,0,25,33,0,1,0,1,25,0,100,50,67,0,50,33,100,0,0,0,4.50,4.00,6.00,3.25,2.67,5.00,75,75,50,50,50,0,0,0,1.05,1.11,0.89,0.91,0.71,1.51,25,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,25,33,0,50,33,100,0
CA Osasuna,CA Osasuna,2024/2025,Spain,4,3,1,0,2,2,0,1,1,0,1,0,1,1.75,2.33,0,8,1,19,8,5,7,-2,12,8,4,5,0,3,4,2,-4,72,54,0,51,90,23,1,1,0,2,2,0,1,0,1,2,2,0,17,17,0,7,7,0,49,52,40,34,32,2,17,17,0,17,15,2,52,43,9,2,2,0,3,2,1,-1,0,-1,1,1,0,1,1,0,2,1,1,1,1.33,0,3,2.67,4,1.25,1.67,0,1.75,1,4,1.25,1.33,1,0.5,0.67,0,0.75,0.67,1,4,3,2,2,1,0,3,2,1,1,1,0,1,1,1,1,0,0,0,1,2,2,3,4,0,1,2,2,2,3,0,0,0,0,1,1,100,75,50,50,25,0,100,67,33,33,33,0,100,100,100,100,0,0,0,25,50,50,75,100,0,33,67,67,67,100,0,0,0,0,100,100,3,1,1,2,1,1,1,0,0,75,25,25,67,33,33,100,0,0,50,67,0,39,25,33,0,50,67,0,25,0,100,50,67,0,1,1,0,25,33,0,3,2,1,75,67,100,1,1,0,25,33,0,25,33,0,25,33,0,50,33,100,4.25,5.67,0.00,1.75,2.33,0.00,75,75,75,25,0,0,0,0,1.19,1.50,0.26,1.13,1.04,1.41,75,0,0,1,0,1,1,1,1,0,0,0,2,1,0,2,0,0,2,25,33,0,25,0,100,0
Valencia CF,Valencia CF,2024/2025,Spain,4,2,2,0,0,0,0,1,1,0,3,1,2,0.25,0.5,0,20,18,18,20,3,7,-4,10,5,5,2,1,3,4,-1,-3,120,90,180,51,60,45,0,0,0,3,2,1,1,0,1,3,2,1,27,17,10,8,5,3,49,47,50,35,21,14,15,9,6,20,12,8,47,27,20,3,2,1,5,2,3,-2,0,-2,0,0,0,2,2,0,2,0,2,0.5,1,0,2.5,2.5,2.5,0.75,1,0.5,1.75,1.5,2,2,2,2,0.75,1,0.5,1.25,1,1.5,4,3,2,1,0,0,2,2,1,0,0,0,2,1,1,1,0,0,0,1,2,3,4,4,0,0,1,2,2,2,0,1,1,1,2,2,100,75,50,25,0,0,100,100,50,0,0,0,100,50,50,50,0,0,0,25,50,75,100,100,0,0,50,100,100,100,0,50,50,50,100,100,4,3,1,2,2,0,2,1,1,100,75,25,100,100,0,100,50,50,0,0,0,24,0,0,0,75,100,50,25,0,50,75,100,50,0,0,0,0,0,0,1,0,1,25,0,50,3,2,1,75,100,50,0,0,0,50,100,0,50,0,100,6.75,8.50,5.00,2,2.5,1.50,100,100,75,75,75,25,25,25,1.17,1.39,0.95,1.22,1.22,1.21,75,0,1,1,0,1,0,0,0,0,0,0,2,0,4,1,0,0,0,25,50,0,75,50,100,25
Real Sociedad de Fútbol,Real Sociedad,2024/2025,Spain,5,3,2,0,1,0,1,1,0,1,3,3,0,0.8,0,2,16,20,4,16,3,6,-3,9,8,1,2,1,6,0,-4,1,150,134,180,75,45,0,2,0,2,2,2,0,2,1,1,2,1,1,29,24,5,15,12,3,56,56,57,33,26,7,14,10,4,19,16,3,76,42,34,1,1,0,1,1,0,0,0,0,0,0,0,5,3,2,0,0,0,1,1,1,1.8,2.67,0.5,0.6,0.67,0.5,1.2,2,0,0.4,0.67,0,0.2,0.33,0,0.2,0.33,0,4,3,2,0,0,0,3,3,2,0,0,0,1,0,0,0,0,0,1,2,3,5,5,5,0,0,1,3,3,3,1,2,2,2,2,2,80,60,40,0,0,0,100,100,67,0,0,0,50,0,0,0,0,0,20,40,60,100,100,100,0,0,33,100,100,100,50,100,100,100,100,100,1,1,0,1,1,0,0,0,0,20,20,0,33,33,0,0,0,0,20,0,50,-28,40,0,100,40,67,0,40,33,50,40,33,50,4,2,2,80,67,100,4,2,2,80,67,100,1,1,0,20,33,0,0,0,0,100,100,100,0,0,0,5.80,8.00,2.50,3,4,1.50,80,80,80,80,80,60,40,40,0.91,1.11,0.61,1.36,1.47,1.20,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,2,1,20,0,50,60,100,0,20
Rayo Vallecano,Rayo Vallecano,2024/2025,Spain,4,1,3,0,1,0,1,1,0,1,2,1,1,1,0,1.33,15,19,6,15,4,5,-1,9,3,6,1,3,2,3,-1,0,90,90,90,72,45,90,1,0,1,3,1,2,1,0,1,3,1,2,20,6,14,11,3,8,44,35,46,34,8,26,17,5,12,17,3,14,72,17,55,2,1,1,1,0,1,1,1,0,1,1,0,3,0,3,0,0,0,1.5,3,1,2.25,3,2,1,1,1,1.25,2,1,0.75,1,0.67,0.5,1,0.33,0.25,0,0.33,3,3,3,0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,1,1,1,4,4,4,0,0,0,1,1,1,1,1,1,3,3,3,75,75,75,0,0,0,100,100,100,0,0,0,67,67,67,0,0,0,25,25,25,100,100,100,0,0,0,100,100,100,33,33,33,100,100,100,2,1,0,1,0,0,1,1,0,50,25,0,100,0,0,33,33,0,25,0,33,-30,25,0,33,75,100,67,25,0,33,75,100,67,3,1,2,75,100,67,2,0,2,50,0,67,1,0,1,25,0,33,25,100,0,75,0,100,0,0,0,5.00,6.00,4.67,2.75,3,2.67,75,75,75,75,50,50,25,25,1.14,1.14,1.14,1.31,1.63,1.20,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3,25,0,33,50,100,33,25
Getafe Club de Fútbol,Getafe CF,2024/2025,Spain,4,2,2,0,0,0,0,3,2,1,1,0,1,0.75,1,0.5,18,15,13,18,1,2,-1,3,0,3,0,1,0,2,0,-1,360,0,180,180,0,90,2,2,0,1,0,1,3,2,1,0,0,0,17,7,10,7,2,5,43,51,36,38,19,19,12,4,8,26,15,11,58,31,27,0,0,0,2,0,2,-2,0,-2,0,0,0,2,2,0,2,0,2,0.5,1,0,0.75,0,1.5,0.25,0,0.5,0.5,0,1,0.5,0,1,0,0,0,0.5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,3,4,4,4,4,2,2,2,2,2,2,0,1,2,2,2,2,50,25,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,50,75,100,100,100,100,100,100,100,100,100,100,0,50,100,100,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0,50,100,0,25,0,50,75,100,50,0,0,0,2,2,0,50,100,0,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,4.25,3.50,5.00,1.75,1,2.50,50,25,25,25,25,0,0,0,1.11,1.15,1.08,0.73,0.33,1.13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,75,100,50,25,0,50,0
Real Valladolid Club de Fútbol,Real Valladolid,2024/2025,Spain,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,17,9,20,17,1,10,-9,11,1,10,1,0,0,10,1,-10,360,180,0,36,0,18,2,2,0,0,0,0,3,1,2,1,1,0,13,7,6,7,3,4,42,52,33,30,20,10,7,5,2,23,15,8,55,28,27,1,1,0,3,0,3,-2,1,-3,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.75,0.5,5,0.25,0.5,0,2.5,0,5,1,0.5,1.5,0.25,0.5,0,0.75,0,1.5,3,2,2,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,1,2,2,3,3,3,1,2,2,2,2,2,0,0,0,1,1,1,75,50,50,25,25,25,50,0,0,0,0,0,100,100,100,50,50,50,25,50,50,75,75,75,50,100,100,100,100,100,0,0,0,50,50,50,2,1,1,1,0,0,1,1,1,50,25,25,50,0,0,50,50,50,25,50,0,100,50,100,0,0,0,0,75,50,100,25,50,0,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,3.25,3.50,3.00,1.75,1.5,2.00,75,75,50,50,25,0,0,0,0.95,1.18,0.72,1.56,0.84,2.27,125,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,1,4,25,50,0,50,0,100,0
Real Club Deportivo Mallorca,RCD Mallorca,2024/2025,Spain,5,3,2,0,1,0,1,2,2,0,2,1,1,1,0.67,1.5,11,17,8,11,3,4,-1,7,5,2,2,1,3,1,-1,0,150,134,180,113,90,180,2,1,1,2,2,0,2,1,1,1,0,1,27,20,7,10,6,4,47,44,50,47,32,15,22,16,6,25,16,9,62,37,25,1,0,1,2,2,0,-1,-2,1,1,0,1,2,1,1,2,2,0,1,0.33,2,1.4,1.67,1,0.6,0.67,0.5,0.8,1,0.5,0.6,0.67,0.5,0.2,0,0.5,0.4,0.67,0,4,2,1,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,1,3,4,5,5,5,1,1,2,3,3,3,0,2,2,2,2,2,80,40,20,0,0,0,67,67,33,0,0,0,100,0,0,0,0,0,20,60,80,100,100,100,33,33,67,100,100,100,0,100,100,100,100,100,3,0,0,2,0,0,1,0,0,60,0,0,67,0,0,50,0,0,20,0,50,-7,40,33,50,40,67,0,40,33,50,20,0,50,3,1,2,60,33,100,4,3,1,80,100,50,0,0,0,0,0,0,20,0,50,40,33,50,40,67,0,5.40,6.67,3.50,2,2,2.00,80,80,80,60,60,60,60,40,1.26,1.40,1.05,1.56,1.67,1.39,40,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,1,40,67,0,40,33,50,20
Girona FC,Girona FC,2024/2025,Spain,4,1,3,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,5,12,7,5,7,4,3,11,4,7,4,3,0,4,4,-1,51,23,90,90,0,68,2,1,1,1,0,1,1,0,1,2,1,1,23,5,18,5,0,5,57,60,56,36,9,27,19,6,13,17,3,14,42,10,32,2,1,1,2,0,2,0,1,-1,2,1,1,0,0,0,2,0,2,1.5,3,1,2.75,4,2.33,1.75,4,1,1,0,1.33,1,1,1,0.5,1,0.33,0.5,0,0.67,4,4,2,1,0,0,1,1,1,1,0,0,3,3,1,0,0,0,0,0,2,3,4,4,0,0,0,0,1,1,0,0,2,3,3,3,100,100,50,25,0,0,100,100,100,100,0,0,100,100,33,0,0,0,0,0,50,75,100,100,0,0,0,0,100,100,0,0,67,100,100,100,4,0,0,1,0,0,3,0,0,100,0,0,100,0,0,100,0,0,50,100,33,115,50,100,33,25,0,33,25,0,33,50,100,33,2,1,1,50,100,33,2,0,2,50,0,67,0,0,0,0,0,0,50,100,33,0,0,0,50,0,67,5.75,5.00,6.00,1.25,0,1.67,75,75,50,50,25,25,0,0,1.30,1.41,1.26,1.17,0.26,1.47,50,0,0,0,1,1,2,0,2,1,1,0,0,1,1,0,0,0,1,25,0,33,25,0,33,0
Reial Club Deportiu Espanyol,RCD Espanyol,2024/2025,Spain,5,3,2,0,2,2,0,1,0,1,2,1,1,1.4,2,0.5,7,5,12,7,5,5,0,10,9,1,5,0,4,1,1,-1,90,54,0,90,68,180,1,0,1,2,2,0,3,1,2,1,1,0,15,10,5,11,7,4,42,40,47,45,28,17,19,14,5,26,14,12,62,45,17,2,2,0,3,2,1,-1,0,-1,0,0,0,4,3,1,1,0,1,0.8,1,0.5,2,3,0.5,1,1.67,0,1,1.33,0.5,1,1.33,0.5,0.4,0.67,0,0.6,0.67,0.5,4,2,2,1,1,0,3,2,2,1,1,0,1,0,0,0,0,0,1,3,3,4,4,5,0,1,1,2,2,3,1,2,2,2,2,2,80,40,40,20,20,0,100,67,67,33,33,0,50,0,0,0,0,0,20,60,60,80,80,100,0,33,33,67,67,100,50,100,100,100,100,100,3,2,0,2,2,0,1,0,0,60,40,0,67,67,0,50,0,0,40,67,0,17,20,0,50,40,67,0,60,33,100,20,33,0,2,1,1,40,33,50,3,1,2,60,33,100,2,2,0,40,67,0,0,0,0,80,100,50,20,0,50,3.00,3.33,2.50,2.2,2.33,2.00,60,60,60,60,40,20,0,0,1.04,1.13,0.92,1.53,1.52,1.56,40,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,20,0,50,40,33,50,0
